Title,Link,website,Article_Text,date,topic,classification,confidence_score,fact_check_score
,https://www.elwatannews.com/news/details/8204852,elwatannews.com,"يترقب عشاق الساحرة المستديرة، انطلاق صافرة مباراة مصر وكوت ديفوار المقرر انطلاقها مساء اليوم في ربع نهائي البطولة، إذ يدخل المنتخبان مواجهة لا تقبل أنصاف الحلول؛ تجمع بين الطموح والخبرة والتاريخ العريق، إذ يرغب المنتخبان في العودة إلى منصات التتويج مرة أخرى.
وتنطلق
على ملعب أدرار بالمغرب، وهو واحد من أكبر الملاعب التي تستضيف مباريات الأدوار الحاسمة، لهذا من المتوقع أن تشهد المباراة حضورا جماهيريا كبيرًا ليتناسب مع ثقل وقيمة مواجهة ربع النهائي.
تذاع في ربع نهائي كأس الأمم الأفريقية وفقًا للمواعيد التالية:
التردد: 11617
الاستقطاب: عمودي
معدل الترميز: 27500
القناة: مفتوحة (تحتاج جهاز يدعم Multistream)
القمر الصناعي: Eutelsat 9B
التردد: 12034
الاستقطاب: عمودي
معدل الترميز: 27500
القناة: مفتوحة
تمتلك شبكة beIN SPORTS حقوق البث الحصري لمباريات البطولة داخل الشرق الأوسط وشمال أفريقيا، وتنقل مباراة مصر وكوت ديفوار عبر:
beIN SPORTS MAX 1
beIN SPORTS MAX 2
beIN SPORTS MAX 3
beIN SPORTS MAX 4
مع تغطية تحليلية شاملة قبل وبعد ربع النهائي.
beIN SPORTS MAX 1
beIN SPORTS MAX 2
beIN SPORTS MAX 3
beIN SPORTS MAX 4
يمكنك ضبط القنوات الناقلة لمباراة مصر وكوت ديفوار على جهاز الاستقبال من خلال اتباع الخطوات التالية:",2026-01-10,Sport,REAL,79.6%,10
,https://www.elwatannews.com/news/details/8204997,elwatannews.com,"قالت الإعلامية آية عبدالرحمن إن القرآن الكريم يمثِّل نبض حياة المصريين ووجدانهم اليومي، مضيفة أنه يرافقهم منذ الصباح الباكر في المحلات ووسائل النقل والمنازل، إذ يملأ يومهم بالبركة ويحفظ طرقهم ويفتح لهم أبواب الرزق والستر.
وأكدت، خلال تقديمها برنامج
، أن صوت التلاوة حاضر في كل مناسبة في مصر، سواء في الأفراح أو الأعراس أو الموالد والأعياد، ليضفي نورًا وسكينة على القلوب.
وأوضحت
أن شهر رمضان يجسِّد ذلك بصورة أبلغ، إذ يبدأ اليوم بصوت قرآن الفجر ويستمر حتى تراويح الليل، بينما تتجمع القرى والنجوع حول جلسات قراءة القرآن، ليغسل صوت الآيات تعب الأيام ويمنح المحبين والأهالي روح الطمأنينة والراحة النفسية، وأن القرآن يواكب لحظات الحزن أيضًا، حيث يقرأ القارئ في العزاء لتخفيف ألم الفقدان ومنح القلوب الصبر والسكينة.
وأكدت الإعلامية أن القرآن جزء لا يتجزأ من هوية المصريين، حاضر معهم في كل لحظة، ليكون الحصن وقت الخوف والشكر وقت الفرح والنور وقت الحيرة، وأنه يعكس روح الشعب المصري في حياته اليومية، موضحة أن المصريين يستخدمون الآيات الكريمة لتذكير أنفسهم بأن الله مع الصابرين، وأن مع العسر يسرا، وأن ما قد يكرهه الإنسان قد يكون خيرًا له.",2026-01-10,Religion and Belief,FAKE,26.9%,0
,https://www.elwatannews.com/news/details/8204990,elwatannews.com,"انطلقت الحلقة 18 من برنامج «دولة التلاوة»، الذي يهدف لاكتشاف مواهب تجويد القرآن الكريم، منذ قليل، وتعرض قناتا cbc والحياة بثا مباشرا للحلقة.
وتشهد حلقة اليوم مشاركة 3 من أبرز نجوم التلاوة الذين خطفوا الأنظار خلال الموسم بأدائهم المميز وهم: «
، ومحمود السيد، ومحمد ماهر شفيق».
ويُعد برنامج «
» منصة مهمة لاكتشاف أصوات جديدة، حيث يتيح للمتسابقين فرصة الظهور أمام لجان متخصصة من كبار القرّاء والدعاة، ما يعزز فرص نشر القراءات الصحيحة وإحياء فنون المقامات والتجويد بأسلوب يجمع بين المعرفة والأداء الروحاني.",2026-01-10,Religion and Belief,REAL,73.4%,10
,https://www.elwatannews.com/news/details/8204993,elwatannews.com,"حلّ القارئ البريطاني محمد أيوب عاصف، ضيف شرف على حلقة اليوم السبت من برنامج دولة التلاوة، الذي يهدف لاكتشاف مواهب قراءة وتجويد القرآن الكريم.
وتشهد حلقة اليوم مشاركة 3 من أبرز نجوم التلاوة الذين خطفوا الأنظار خلال الموسم بأدائهم المميز وهم: «
، ومحمود السيد، ومحمد ماهر شفيق».
ويُعد برنامج «
» منصة مهمة لاكتشاف أصوات جديدة، حيث يتيح للمتسابقين فرصة الظهور أمام لجان متخصصة من كبار القرّاء والدعاة، ما يعزز فرص نشر القراءات الصحيحة وإحياء فنون المقامات والتجويد بأسلوب يجمع بين المعرفة والأداء الروحاني.",2026-01-10,Religion and Belief,FAKE,33.3%,0
,https://www.elwatannews.com/news/details/8204950,elwatannews.com,"قالت الممثلة العليا للاتحاد الأوروبي للشؤون الخارجية والسياسة الأمنية ونائبة رئيس المفوضية الأوروبية، كايا كالاس، إن أمن المنطقة والتعاون المشترك مع مصر يمثلان أولوية للاتحاد الأوروبي، مشيرة إلى أنها ناقشت مع الرئيس عبد الفتاح السيسي سبل تعزيز هذا التعاون في مختلف المجالات.
وأوضحت كالاس خلال لقاء خاص مع الإعلامية مارينا المصري، على قناة القاهرة الإخبارية، أن العلاقات التجارية بين
ومصر قوية، وتوجد فرص كبيرة لتطويرها على نحو أوسع، إلى جانب إمكانات كبيرة لتعزيز التواصل بين الشعوب، مؤكدة أن هناك الكثير مما يمكن إنجازه في هذا الإطار.
وفيما يتعلق بملف الهجرة، أكدت المسؤولة الأوروبية وجود تعاون وثيق مع مصر، مشددة على أن من مصلحة الطرفين وضع قواعد واضحة للهجرة الشرعية، ومعالجة الأسباب الجذرية للهجرة، لافتة إلى أن الأفراد لا يغادرون أوطانهم إلا اضطرارًا بسبب نقص
أو سبل العيش أو بسبب النزاعات والحروب، وهو ما يتطلب التعامل مع هذه القضايا بشكل شامل.",2026-01-10,Politics,REAL,77.2%,10
,https://www.elwatannews.com/news/details/8204957,elwatannews.com,"قالت الممثلة العليا للاتحاد الأوروبي للشؤون الخارجية والسياسة الأمنية ونائبة رئيس المفوضية الأوروبية، كايا كالاس، إن الاتحاد الأوروبي لا يدعم تهجير سكان قطاع غزة أو احتلال الأراضي بما يخالف القانون الدولي، مؤكدة توافق الاتحاد مع الموقف المصري في هذا الشأن.
وأوضحت كالاس، خلال لقاء خاص مع الإعلامية مارينا المصري، على قناة القاهرة الإخبارية، أن التحدي يكمن في الأدوات المتاحة للتأثير في ظل
لما تقوم به إسرائيل، واصفة الأمر بأنه بالغ الصعوبة، ومشددة على أهمية التعاون والعمل المشترك مع الشركاء الإقليميين لمواجهة هذه التحديات.
وأكدت أن مصر تُعد شريكًا بالغ الأهمية للاتحاد الأوروبي في منطقة
، لا سيما في الجهود الدبلوماسية المتعلقة بالأزمات المختلفة في السودان واليمن وسوريا وغزة، مشيرة إلى الدور المحوري الذي تلعبه القاهرة في هذه الملفات، إلى جانب التعاون القائم بين الجانبين في ملف الهجرة القادمة من أفريقيا.",2026-01-10,Economy,FAKE,32.2%,0
,https://www.elwatannews.com/news/details/8205000,elwatannews.com,"علق الداعية مصطفى حسني، عضو لجنة تحكيم برنامج «دولة التلاوة»، خلال الحلقة الثامنة عشرة على قراءة المتسابق محمد ماهر شفيق، مؤكدًا أن من أهم احتياجات الإنسان في الحياة هو بقاء النعمة، مشددًا على أن إبقاء النعمة أو زوالها بيد الله سبحانه وتعالى وحده.
وأوضح
أن الإنسان ليحافظ على نعمه يجب أن يكون قريبًا من الله، وألا يطلبها أو يسعى إليها بطريقة لا ترضي الخالق، مؤكدًا أن الطاعة والرضا بالله هما السبيل لضمان استمرار النعم في الحياة.
وأضاف حسني أن قراءة
شفيق جسدت روح التلاوة والخشوع، وأن البرنامج يعد منصة لتعليم قيم القرآن الكريم وتعزيز العلاقة بين الإنسان وخالقه من خلال فن التلاوة والإتقان.",2026-01-10,Religion and Belief,REAL,71.9%,10
,https://www.elwatannews.com/news/details/8204998,elwatannews.com,"علقت لجنة تحكيم برنامج «دولة التلاوة» على قراءة المتسابق محمد ماهر شفيق خلال الحلقة الثامنة عشر، مشيدة بإتقانه للقراءة ومراعاته للأحكام التجويدية، مؤكدة أن الصوت كان جيدًا ومتقنًا، ما يعكس مستوى الأداء المتميز للمتسابق.
وأشارت اللجنة إلى أن المسابقة تؤكد ريادة مصر في فنون التلاوة، مضيفة أن
يسعى للوصول إلى أعلى مستويات الإتقان بما يفوق الإتقان ذاته، معتبرة أن جميع المتسابقين قدموا أداءً يستحق التقدير والإشادة.
وأكدت اللجنة أن المسابقة تمثل منصة لتطوير
وتعزيز مكانة مصر كدولة التلاوة، معربة عن سعادتها بكل المشاركين الذين يظهرون تفانيهم وإبداعهم في قراءة القرآن الكريم.",2026-01-10,Religion and Belief,REAL,76.7%,10
,https://www.elwatannews.com/news/details/8204995,elwatannews.com,"بالتزامن مع رئاسة مصر مؤتمر الأطراف لاتفاقية برشلونة (COP24)، أطلقت وزارة البيئة مبادرة جديدة، تُعد أولى ثمار المؤتمر، حيث دشنت الوزارة، بالتنسيق مع محافظة الإسكندرية، أولى حملات تنظيف الجزر القريبة من الشواطئ المصرية المطلة على البحر المتوسط، تحت شعار «بحار مستدامة»، بمشاركة 30 متطوعاً من منظمات المجتمع المدنى، من ضمنها جمعية «بانلاستيك»، و«خليك إيجابى».
وكشفت وزارة البيئة أن الحملة تهدف إلى تطهير الجزر من المخلَّفات الصلبة، خاصة المخلَّفات البلاستيكية، التى تراكمت على الجزر فى الفترات السابقة، بسبب الرحلات وأعمال الصيد، التى قد تقذفها النوات والرياح إلى مياه البحر، وتدفع بها إلى الشواطئ المصرية، مما يؤثر سلباً على البيئة وصحة الإنسان، وأسفرت هذه الحملة عن رفع ما يقرب من 80 كيلوجراماً من المخلَّفات البلاستيكية والمعدنية وشباك الصيد القديمة والأخشاب.
فى هذا الصدد، أكد الدكتور عزت حسن، خبير بيئى، أن المنطقة الساحلية للبحر المتوسط هى المناطق البحرية الممتدة الموازية للساحل الشمالى لمصر، بينما المقصود بمنطقة البحر الأحمر المناطق البحرية الممتدة بخليجى السويس والعقبة وموازية لساحل البحر الأحمر جنوباً حتى الحدود الشرقية الجنوبية مع السودان، عند خط عرض 22، وأضاف قائلاً لـ«الوطن» إن النظم البيئية تلعب دوراً كبيراً فى الحفاظ على التنوع البيولوجى، من خلال التباين فى الأنواع النباتية والحيوانية، وما يرتبط به من تنوع فى الصفات الوراثية، وفى تجمعات الكائنات الحية.",2026-01-10,Environment,REAL,79.7%,10
,https://www.elwatannews.com/news/details/8204991,elwatannews.com,"يعد مشروع الإدارة المتكاملة للمخلفات من أبرز المشروعات التى عملت عليها وزارة البيئة خلال عام 2025، استكمالاً لرحلة العمل على إدارة المخلفات، انطلاقاً من قانون تنظيم إدارة المخلفات رقم 202 لسنة 2020، الذى أسهم فى دعم البنية التحتية لمنظومة إدارة المخلفات بالمحافظات المختلفة، حيث شهد عام 2025، فتح وتشغيل نحو 655 موقعاً لجمع قش الأرز، وتم تسجيل واعتماد عدد 259 موقعاً لإصدار تراخيص مزاولة نشاط جمع ونقل المخلفات الزراعية من خلال جهاز تنظيم إدارة المخلفات، وتم إصدار 107 تراخيص، كما يجرى إصدار باقى التراخيص، بالإضافة إلى دعم المزارعين بعدد 125 معدة مختلفة، ما بين مكابس وجرارات، من خلال وزارة البيئة، للمساهمة فى عمليات الكبس والجمع، كما تم تجميع 2.7 مليون طن من قش الأرز فى نطاق محافظات القاهرة الكبرى والدلتا، فضلاً عن حصاد أكثر من 466 ألف فدان من الذرة الشامية والرفيعة.
فى هذا الإطار، أكدت الدكتورة هبة زكى، خبير بيئة وسلامة مهنية، أن هناك اهتماماً كبيراً من قبل الدولة بملف إعادة تدوير المخلفات، بهدف التخلص الآمن منها، حفاظاً على البيئة من التلوث والانبعاثات الحرارية، التى تزيد من ظاهرة التغيرات المناخية، التى باتت منتشرة خلال الفترة الأخيرة، وأضافت «زكى»، فى تصريحاتها لـ«الوطن»، أن التركيز على برامج التدريب للمهنيين فى إدارة المخلفات، قد يشير إلى الحاجة لتطوير قوة عمل مؤهلة بشكل أفضل، لتشغيل وصيانة البنية التحتية الجديدة بفاعلية، بالإضافة إلى دعم تأسيس قاعدة معلومات تفصيلية عن تركيب المخلفات التى يتم إنتاجها فى مصر.
وأشارت خبيرة السلامة المهنية إلى أن فهم أنواع وكميات المخلفات المختلفة يعد أمراً ضرورياً لتطوير استراتيجيات إدارة نفايات موجهة وفعالة، حيث قد يعرقل نقص هذه البيانات عملية تحسين جهود إعادة التدوير ومعالجة المخلفات، وأوضحت «زكى» أنه لابد من المعالجة الصريحة والحاسمة لقضية التخلص غير القانونى من المخلفات، فقد تؤدى الممارسات غير الرسمية للجمع والتخلص من المخلفات، إلى تقويض فاعلية النظام الرسمى، وتشكل مخاطر بيئية وصحية، مؤكدة على سعى وزارة البيئة للتحول الأخضر، للحفاظ على صحة البيئة والتنوع البيولوجى، ومن ثم تقليل تأثير التغيرات المناخية، من خلال فتح المجال أمام المستثمرين والقطاع الخاص للاستثمار فى قطاع إدارة المخلفات بكافة أنواعها، والتخلص الآمن منها، من خلال المدافن الصحية، التى عملت الوزارة على إنشائها، خلال الفترة الماضية.",2026-01-10,Environment,REAL,74.6%,10
