Title,Link,website,Article_Text,date,topic,classification,confidence_score,fact_check_score
لحظة بلحظة مصر ضد كوت ديفوار 20 ربيعة يسجل الثاني للفراعنة,https://www.masrawy.com/sports/sports-arab-international/details/2026/1/10/2923048/%D9%84%D8%AD%D8%B8%D8%A9-%D8%A8%D9%84%D8%AD%D8%B8%D8%A9-%D9%85%D8%B5%D8%B1-%D8%B6%D8%AF-%D9%83%D9%88%D8%AA-%D8%AF%D9%8A%D9%81%D9%88%D8%A7%D8%B1-2-0-%D8%B1%D8%A8%D9%8A%D8%B9%D8%A9-%D9%8A%D8%B3%D8%AC%D9%84-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D9%84%D9%84%D9%81%D8%B1%D8%A7%D8%B9%D9%86%D8%A9#HpFeature,masrawy.com,"دقائق قليلة تفصلنا عن انطلاق مباراة منتخب مصر أمام نظيره كوت ديفوار، في ربع نهائي كأس أمم أفريقيا 2025.
ويلتقي الفائز من مباراة منتخب مصر وكوت ديفوار في كأس أمم أفريقيا، مع المنتخب السنغالي الذي حقق الفوز أمس، على حساب نظيره مالي بهدف دون مقابل.
حراسة المرمى: محمد الشناوي
خط الدفاع: أحمد فتوح، حسام عبد المجيد، رامي ربيعة، ياسر إبراهيم ومحمد هاني.
خط الوسط: مروان عطية، حمدي فتحي وإمام عاشور
خط الهجوم: عمر مرموش ومحمد صلاح
حراسة المرمى: يحيى فوفانا
خط الدفاع: جيلا دوي، إيفان نديكا، أوديلون كوسونو وجيسلان كونان
خط الوسط: كريست إيناو أولاي، فرانك كيسي وإبراهيما سنجاري
خط الهجوم: يان ديوماندي، إيفان جويساند وأماد ديالو
الدقيقة 1: بداية المباراة
الدقيقة 4: عمر مرموش يسجل الهدف الأول لمنتخب مصر
الدقيقة 8: خطأ لصالح عمر مرموش في منتصف الملعب
الدقيقة 14: سيطرة على الكرة من لاعبي منتخب مصر
الدقيقة 17: فرصة خطيرة لمنتخب كوت ديفوار، يبعدها أحمد فتوح ببراعة من أمام مهاجم كوت ديفوار
الدقيقة 21: رأسية من حسام عبد المجثيد ولكنها تخرج أعلى مرمى منتخب كوت ديفوار
الدقيقة 22: رأسية من لاعب منتخب كوت ديفوار تمر بجوار مرمى منتخب مصر
الدقيقة 29: ركلة حرة لمنتخب كوت ديفوار من على حدود منطقة جزاء مصر
الدقيقة 32: رامي ربيعة يسجل الهدف الثاني لمنتخب مصر في مرمى كوت ديفوار",2026-01-10,Sport,REAL,79.8%,10
أول تعليق من الأوقاف على صورة وزيرها أمام مسجد السيدة زينب,https://www.masrawy.com/news/news_egypt/details/2026/1/10/2923024/%D8%A3%D9%88%D9%84-%D8%AA%D8%B9%D9%84%D9%8A%D9%82-%D9%85%D9%86-%D8%A7%D9%84%D8%A3%D9%88%D9%82%D8%A7%D9%81-%D8%B9%D9%84%D9%89-%D8%B5%D9%88%D8%B1%D8%A9-%D9%88%D8%B2%D9%8A%D8%B1%D9%87%D8%A7-%D8%A3%D9%85%D8%A7%D9%85-%D9%85%D8%B3%D8%AC%D8%AF-%D8%A7%D9%84%D8%B3%D9%8A%D8%AF%D8%A9-%D8%B2%D9%8A%D9%86%D8%A8#HpFeature,masrawy.com,"كتب- محمود مصطفى أبو طالب:
أثارت صورة منسوبة لوزير الأوقاف ومعلّقة أمام مسجد السيدة زينب رضي الله عنها، العديد من التساؤلات لدى رواد مواقع التواصل الاجتماعي بشأن دلالات الصورة وسياق الفعالية المرتبطة بها.
ورد الدكتور أسامة رسلان، المتحدث الرسمي باسم وزارة الأوقاف، على هذه الصورة مشيرًا إلى أن التوقف عند الصورة وحدها يُعد اكتفاءً بالمظهر دون التعمق في الجوهر والمضمون الحقيقي للحدث، مشيرًا إلى أن الصور أو ""البنرات"" تُستخدم بشكل معتاد في مختلف أنشطة وجهود العناية بالأسر الأولى بالرعاية، سواء عبر المسار الرسمي أو التطوعي.
وأكد ""رسلان""، أن هذه الجهود شملت، ولا تزال تشمل، مبادرات الإطعام والخدمات المجتمعية في رحاب عدد من المساجد الكبرى، من بينها جهود الإطعام في رحاب السيدة نفيسة رضي الله عنها، وافتتاح ""مطابخ المحروسة"" بمشاركة نائب وزير الأوقاف ووزيرتي التضامن الاجتماعي والتنمية المحلية في رحاب المسجد الأحمدي بمدينة طنطا.
وأضاف، أن هذه المبادرات امتدت كذلك إلى رحاب مسجد سيدي أبو الحسن الشاذلي بمنطقة وادي حميثرة بمحافظة البحر الأحمر، وإلى مسجد الفتح برمسيس، في إطار نهج متواصل يستهدف دعم الفئات الأكثر احتياجًا وتعزيز الدور المجتمعي للمساجد.",2026-01-10,Religion and Belief,FAKE,35.8%,0
تصل إلى حد الصقيع الأرصاد تحذر من أجواء شديدة البرودة ليلا,https://www.masrawy.com/news/news_egypt/details/2026/1/10/2922976/%D8%AA%D8%B5%D9%84-%D8%A5%D9%84%D9%89-%D8%AD%D8%AF-%D8%A7%D9%84%D8%B5%D9%82%D9%8A%D8%B9-%D8%A7%D9%84%D8%A3%D8%B1%D8%B5%D8%A7%D8%AF-%D8%AA%D8%AD%D8%B0%D8%B1-%D9%85%D9%86-%D8%A3%D8%AC%D9%88%D8%A7%D8%A1-%D8%B4%D8%AF%D9%8A%D8%AF%D8%A9-%D8%A7%D9%84%D8%A8%D8%B1%D9%88%D8%AF%D8%A9-%D9%84%D9%8A%D9%84-%D8%A7#HpFeature,masrawy.com,"أكدت الدكتورة منار غانم، عضو المركز الإعلامي بهيئة الأرصاد الجوية، أن البلاد تتأثر اليوم السبت بمرتفع جوي يزيد من سطوع الشمس نهارًا، محذرة من انخفاض ملموس في درجات الحرارة مع حلول الليل، واضطراب ملحوظ في حركة الملاحة البحرية.
 
وأضافت غانم خلال مداخلة هاتفية عبر القناة الأولى، أن الأجواء ستكون مائلة للدفء خلال فترة النهار، حيث تسجل درجات الحرارة العظمى في القاهرة ما بين 19 و20 درجة مئوية. 
 
وتابعت أن الانخفاض الحاد يظهر مع فترات الليل والصبح الباكر، حيث تتراوح الصغرى في القاهرة بين 10 و11 درجة، بينما تهبط إلى أقل من 8 درجات في المدن الجديدة، وقد تصل إلى 6 درجات في بعض محافظات الصعيد.
 
وحذرت من وصول الأجواء إلى حد الصقيع في مناطق مثل وسط سيناء ومحافظة الوادي الجديد، داعيةً المواطنين في تلك المناطق لأخذ الحيطة.
 
وأشارت إلى أن فرص سقوط الأمطار اليوم تنحصر في المناطق الساحلية المطلة على البحر المتوسط وشمال الوجه البحري، تكون خفيفة ومتقطعة.
 
ولفتت الدكتورة منار عانم إلى استمرار حالة عدم الاستقرار في البحر المتوسط، حيث من المتوقع أن تصل ارتفاع الأمواج إلى ما بين 2.5 و4 أمتار، مما يجعله غير آمن للملاحة أو ممارسة الأنشطة البحرية.
 
وأشارت عضو المركز الإعلامي بهيئة الأرصاد إلى تحسن نسبي واستقرار بدءًا من يوم الأحد على كافة الأنحاء.",2026-01-10,Weather,REAL,83.3%,10
وفاة عامل بـالأرصاد الجوية في حادث انفجار بالون والهيئة تنعيه ,https://www.masrawy.com/news/news_egypt/details/2026/1/10/2923026/%D9%88%D9%81%D8%A7%D8%A9-%D8%B9%D8%A7%D9%85%D9%84-%D8%A8%D9%80-%D8%A7%D9%84%D8%A3%D8%B1%D8%B5%D8%A7%D8%AF-%D8%A7%D9%84%D8%AC%D9%88%D9%8A%D8%A9-%D9%81%D9%8A-%D8%AD%D8%A7%D8%AF%D8%AB-%D8%A7%D9%86%D9%81%D8%AC%D8%A7%D8%B1-%D8%A8%D8%A7%D9%84%D9%88%D9%86-%D9%88%D8%A7%D9%84%D9%87%D9%8A%D8%A6%D8%A9-%D8%AA%D9%86%D8%B9%D9%8A%D9%87-#HpFeature,masrawy.com,"نعت الهيئة العامة للأرصاد الجوية، أشرف عبدالمنعم محمد راصد جوي بالهيئة والذي وافته المنية أثناء تأدية عمله وواجبه المهني بمحطة الرصد الجوي بمرسى مطروح. 
وأصدرت وزارة الطيران المدني منشورًا عبر صفحتها الرسمية على ""فيسبوك""، أوضحت فيه تفاصيل حادث وقع أثناء تحضيرات إطلاق بالون لرصد طبقات الجو العليا، بأحد المواقع التابعة للهيئة بالقرب من مطار مرسى مطروح. 
وأفادت الوزارة، بأن الحادث نجم عن عطل فنى مفاجئ في جهاز الهيدروجين المستخدم في عملية الإطلاق، ما أدى إلى انفجار الجهاز أثناء تنفيذ الأعمال الفنية. وأسفر الحادث، عن وفاة أحد العاملين بالهيئة، والذى يشغل وظيفة فنى أرصاد جوية، متأثرًا بإصابته جراء الحادث.
 
وأكدت الوزارة أنه تم التعامل مع الواقعة فور حدوثها والسيطرة عليها بشكل عاجل، مشيرة إلى أن الجهات المختصة تتابع التحقيقات بالتنسيق مع النيابة العامة وكافة الجهات المعنية، للوقوف على الأسباب والملابسات بدقة، واتخاذ الإجراءات اللازمة وفقًا لما تسفر عنه نتائج التحقيق. 
وشددت على أن الحادث لم يؤثر على حركة التشغيل بمطار مرسى مطروح، كما لم تتعرض أى من المنشآت المجاورة لأى أضرار، مؤكدة أن جميع العمليات بالمطار تسير بصورة طبيعية وآمنة.
 ",2026-01-10,Disaster and Accident,REAL,77.2%,10
بحضور جمال مبارك ونظيف وموسى افتتاح متحف فاروق حسني  20 صورة,https://www.masrawy.com/news/news_egypt/details/2026/1/10/2923037/%D8%A8%D8%AD%D8%B6%D9%88%D8%B1-%D8%AC%D9%85%D8%A7%D9%84-%D9%85%D8%A8%D8%A7%D8%B1%D9%83-%D9%88%D9%86%D8%B8%D9%8A%D9%81-%D9%88%D9%85%D9%88%D8%B3%D9%89-%D8%A7%D9%81%D8%AA%D8%AA%D8%A7%D8%AD-%D9%85%D8%AA%D8%AD%D9%81-%D9%81%D8%A7%D8%B1%D9%88%D9%82-%D8%AD%D8%B3%D9%86%D9%8A-20-%D8%B5%D9%88%D8%B1%D8%A9-#HpFeature,masrawy.com,"كتب- محمد لطفي:
تصوير- هاني رجب:
أقيم مساء اليوم، حفل افتتاح متحف الفنان فاروق حسني، وزير الثقافة الأسبق، وذلك بمقر المتحف الكائن في شارع العزيز عثمان بمنطقة الزمالك بالقاهرة، بحضور نخبة من الفنانين التشكيليين والمثقفين والشخصيات العامة.
وتوافد عدد كبير من نخبة المجتمع، على رأسهم الدكتور أحمد فؤاد هنو وزير الثقافة، والمهندس أحمد نظيف رئيس وزراء مصر الأسبق، وجمال مبارك، ورجل الأعمال نجيب ساويرس وعمرو موسى أمين عام جامعة الدول العربية.
وكذلك الدكتور منير فخري عبدالنور، الدكتور طارق الملا، الدكتور هشام زعزوع، الكاتب محمد سلماوي، الناشر إبراهيم المعلم، الفنانة ليلى علوي والفنانة إلهام شاهين، رجل الأعمال محمد أبو العينين، وغيرهم.
ويضم المتحف مجموعة من أعمال فاروق حسني الفنية، إلى جانب مقتنيات مختارة لأعمال بعض الفنانين المصريين والعالميين، فضلًا عن مكتبة تحتوي على كتب نادرة في مختلف فروع المعرفة، وقاعة مخصصة لعرض الأفلام التسجيلية.
ويعد متحف فاروق حسني الأول من نوعه في الشرق الأوسط الذي يقدّم عرضًا متخصصًا ومتكاملًا لفنون التجريد، إلى جانب عرض مجموعة مختارة من مقتنيات عدد من كبار الفنانين المصريين والعالميين، في تجربة متحفية تجمع بين الفن المصري المعاصر والمدارس الفنية العالمية.
ويأتي افتتاح متحف فاروق حسني في إطار حرص مؤسسة فاروق حسني للثقافة والفنون على دعم الحركة الثقافية والفنية في مصر، وتخليد المسيرة الإبداعية والفنية لأحد أبرز رموز الفن التشكيلي المصري والعربي، والذي ترك بصمة واضحة في المشهد الثقافي المصري على مدار عقود طويلة، سواء من خلال أعماله الفنية أو أدواره الثقافية والإدارية.",2026-01-10,Arts,REAL,79.3%,10
3 تغييرات تشكيل منتخب مصر الرسمي لمواجهة كوت ديفوار في أمم أفريقيا,https://www.masrawy.com/sports/sports-arab-international/details/2026/1/10/2923022/-3-%D8%AA%D8%BA%D9%8A%D9%8A%D8%B1%D8%A7%D8%AA-%D8%AA%D8%B4%D9%83%D9%8A%D9%84-%D9%85%D9%86%D8%AA%D8%AE%D8%A8-%D9%85%D8%B5%D8%B1-%D8%A7%D9%84%D8%B1%D8%B3%D9%85%D9%8A-%D9%84%D9%85%D9%88%D8%A7%D8%AC%D9%87%D8%A9-%D9%83%D9%88%D8%AA-%D8%AF%D9%8A%D9%81%D9%88%D8%A7%D8%B1-%D9%81%D9%8A-%D8%A3%D9%85%D9%85-%D8%A3%D9%81%D8%B1%D9%8A%D9%82%D9%8A%D8%A7#HpFeature,masrawy.com,"أعلن حسام حسن المدير الفني لمنتخب مصر الأول، عن تشكيل الفراعنة لمواجهة كوت ديفوار، في كأس أمم أفريقيا 20205.
ومن المقرر انطلاق صافرة بداية المباراة، في تمام الساعة التاسعة مساءً بتوقيت القاهرة، ضمن منافسات ربع نهائي كأس أمم أفريقيا 2025.
وشهدت تشكيل منتخب مصر إجراء المدير الفني حسام حسن، العديد من التغييرات، منها مشاركة أحمد فتوح بدلا من محمد حمدي المصاب.
حراسة المرمى: محمد الشناوي
خط الدفاع: أحمد فتوح، حسام عبد المجيد، رامي ربيعة، ياسر إبراهيم ومحمد هاني.
خط الوسط: مروان عطية، حمدي فتحي وإمام عاشور
خط الهجوم: عمر مرموش ومحمد صلاح
ويلتقي الفائز من مباراة مصر وكوت ديفوار، في نصف النهائي مع منتخب السنغال، الذي حقق الفوز أمس على مالي.",2026-01-10,Sport,REAL,82.0%,10
انفجار خط مياه رئيسي في قرية أشليم بالمنوفية ومشاهد ترصد آثار الواقعة,https://www.masrawy.com/news/masrawytv/details/2026/1/10/2922957/%D8%A7%D9%86%D9%81%D8%AC%D8%A7%D8%B1-%D8%AE%D8%B7-%D9%85%D9%8A%D8%A7%D9%87-%D8%B1%D8%A6%D9%8A%D8%B3%D9%8A-%D9%81%D9%8A-%D9%82%D8%B1%D9%8A%D8%A9-%D8%A3%D8%B4%D9%84%D9%8A%D9%85-%D8%A8%D8%A7%D9%84%D9%85%D9%86%D9%88%D9%81%D9%8A%D8%A9-%D9%88%D9%85%D8%B4%D8%A7%D9%87%D8%AF-%D8%AA%D8%B1%D8%B5%D8%AF-%D8%A2%D8%AB%D8%A7%D8%B1-%D8%A7%D9%84%D9%88%D8%A7%D9%82%D8%B9%D8%A9#hpvideos-sub,masrawy.com,Not found,2026-01-10,Disaster and Accident,FAKE,45.4%,0
مسؤولة بالاتحاد الأوروبي صرف الشريحة الثانية من حزمة الدعم المالي لمصر,https://www.masrawy.com/news/masrawytv/details/2026/1/10/2922882/%D9%85%D8%B3%D8%A4%D9%88%D9%84%D8%A9-%D8%A8%D8%A7%D9%84%D8%A7%D8%AA%D8%AD%D8%A7%D8%AF-%D8%A7%D9%84%D8%A3%D9%88%D8%B1%D9%88%D8%A8%D9%8A-%D8%B5%D8%B1%D9%81-%D8%A7%D9%84%D8%B4%D8%B1%D9%8A%D8%AD%D8%A9-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A%D8%A9-%D9%85%D9%86-%D8%AD%D8%B2%D9%85%D8%A9-%D8%A7%D9%84%D8%AF%D8%B9%D9%85-%D8%A7%D9%84%D9%85%D8%A7%D9%84%D9%8A-%D9%84%D9%85%D8%B5%D8%B1#hpvideos-sub,masrawy.com,Not found,2026-01-10,Economy,REAL,90.4%,10
رياضة الملوك والسلاطين انطلاق بطولة الشوفكان بمهرجان السياحة الرياضية,https://www.masrawy.com/news/masrawytv/details/2026/1/9/2922495/%D8%B1%D9%8A%D8%A7%D8%B6%D8%A9-%D8%A7%D9%84%D9%85%D9%84%D9%88%D9%83-%D9%88%D8%A7%D9%84%D8%B3%D9%84%D8%A7%D8%B7%D9%8A%D9%86-%D8%A7%D9%86%D8%B7%D9%84%D8%A7%D9%82-%D8%A8%D8%B7%D9%88%D9%84%D8%A9-%D8%A7%D9%84%D8%B4%D9%88%D9%81%D9%83%D8%A7%D9%86-%D8%A8%D9%85%D9%87%D8%B1%D8%AC%D8%A7%D9%86-%D8%A7%D9%84%D8%B3%D9%8A%D8%A7%D8%AD%D8%A9-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6%D9%8A%D8%A9#hpvideos-sub,masrawy.com,Not found,2026-01-10,Sport,FAKE,41.6%,0
بأمطار ورياح قوية نوة الفيضة الكبرى تضرب الإسكندرية مبكرا,https://www.masrawy.com/news/masrawytv/details/2026/1/9/2922489/%D8%A8%D8%A3%D9%85%D8%B7%D8%A7%D8%B1-%D9%88%D8%B1%D9%8A%D8%A7%D8%AD-%D9%82%D9%88%D9%8A%D8%A9-%D9%86%D9%88%D8%A9-%D8%A7%D9%84%D9%81%D9%8A%D8%B6%D8%A9-%D8%A7%D9%84%D9%83%D8%A8%D8%B1%D9%89-%D8%AA%D8%B6%D8%B1%D8%A8-%D8%A7%D9%84%D8%A5%D8%B3%D9%83%D9%86%D8%AF%D8%B1%D9%8A%D8%A9-%D9%85%D8%A8%D9%83%D8%B1-%D8%A7#hpvideos-sub,masrawy.com,Not found,2026-01-10,Disaster and Accident,REAL,90.4%,10
