Title,Link,website,Article_Text,True_Label
,https://www.elwatannews.com/news/details/8168870,elwatan,"قال الدكتور مصطفى مدبولي، رئيس مجلس الوزراء، إنه يود توجيه الشكر للمواطنين على صبرهم خلال إجراءات الإصلاح الاقتصادي الكبيرة التي نفذتها الدولة، مؤكدًا أن الاقتصاد المصري يشهد اليوم انطلاقة قوية، مع تركيز الحكومة جهودها على أربعة قطاعات رئيسية: الصناعة، والزراعة، والاتصالات وتكنولوجيا المعلومات، والسياحة.
وأضاف مدبولي في كلمته خلال توقيع شراكة استثمارية مصرية قطرية لتنفيذ مشروع علم الروم، أن قطاع الصناعة يشهد يوميًا افتتاح مصانع جديدة، ويساهم التصدير في قيادة عمليات النمو المتسارع بالتوازي مع القطاعات الأخرى، أما قطاع الزراعة، فقد حقق أرقامًا قياسية، مع زيادة الصادرات الزراعية المصرية إلى الأسواق العالمية، فضلًا عن المشاريع العملاقة للاستصلاح الزراعي في الدلتا الجديدة، والتي تضيف ملايين الأفدنة إلى الرقعة الزراعية، ما يعزز الاكتفاء الذاتي ويعود بالفائدة على الاقتصاد في السنوات المقبلة.
وأشار رئيس الوزراء إلى أن قطاع الاتصالات وتكنولوجيا المعلومات أصبح قاطرة لتنمية الشباب الواعد، لافتًا إلى أن صناعة التعهيد في مصر تتقدم على العديد من الدول، معلنًا أن يوم الأحد المقبل سيشهد توقيع 50 مشروعًا جديدًا مع 50 شركة كبرى لتوسيع هذا القطاع الحيوي.",REAL
,https://www.elwatannews.com/news/details/8168962,elwatan,"أفادت قناة «القاهرة الإخبارية»، في نبأ عاجل، بأن جيش الاحتلال  الإسرائيلي بدأ في شن غارات على جنوب لبنان.
وأعلن جيش الاحتلال أنه بدء سلسلة غارات على أهداف عسكرية لحزب الله في جنوب لبنان.",REAL
,https://www.elwatannews.com/news/details/8168961,elwatan,"حذرت الهيئة العامة للأرصاد الجوية من طقس الأيام المقبلة، إذ يتوقع الخبراء سيطرة 3 ظواهر جوية على حالة الطقس، ليسود طقس خريفي مائل للبرودة في الصباح الباكر، مائل للحرارة نهارا على أغلب الأنحاء، حار على جنوب البلاد وجنوب سيناء، بينما يكون الطقس معتدل الحرارة في أول الليل مائل للبرودة في آخره.
وعن الظواهر الجوية التي تضرب
الأيام المقبلة، فمن المتوقع أن تكون هناك فرصا لسقوط أمطار خفيفة اليوم الخميس الموافق 6 نوفمبر وتكون الأمطار على مناطق من السواحل الشمالية الغربية وشمال الوجه البحري على فترات متقطعة، يصاحبها ظهور للسحب المنخفضة على مناطق من شمال البلاد حتى القاهرة الكبرى ومدن القناة ووسط سيناء.
وحذرت
أيضا من ظهور الشبورة المائية من 4 وحتى 9 صباحا على بعض الطرق المؤدية من وإلى مناطق من السواحل الشمالية وشمال الوجه البحري والقاهرة الكبرى ومدن القناة، ووسط سيناء، وشمال الصعيد، وقد تكون كثيفة أحيانا على بعض الطرق.
القاهرة الكبرى والوجه البحري: العظمى 27 والصغرى 18 درجة مئوية.
السواحل الشمالية: العظمى 26 والصغرى 17 درجة مئوية.
شمال الصعيد: العظمى 28 والصغرى 17 درجة مئوية.
جنوب الصعيد: العظمى 33 والصغرى 20 درجة مئوية.
القاهرة الكبرى والوجه البحري: العظمى 27 والصغرى 18 درجة مئوية.
السواحل الشمالية: العظمى 26 والصغرى 16 درجة مئوية.
شمال الصعيد: العظمى 28 والصغرى 16 درجة مئوية.
جنوب الصعيد: العظمى 34 والصغرى 20 درجة مئوية.
القاهرة الكبرى والوجه البحري: العظمى 29 والصغرى 19 درجة مئوية.
السواحل الشمالية: العظمى 27 والصغرى 17 درجة مئوية.
شمال الصعيد: العظمى 31 والصغرى 17 درجة مئوية.
جنوب الصعيد: العظمى 36 والصغرى 20 درجة مئوية.",REAL
,https://www.elwatannews.com/news/details/8168965,elwatan,"شدد اللواء الدكتور إسماعيل كمال محافظ أسوان، علي الشركات المنفذة بضرورة الالتزام ببرامج زمنية محددة للانتهاء من كافة المشروعات المتبقية في موعد أقصاه نهاية ديسمبر المقبل، مؤكداً أنه لن يتم السماح بأي تأخير في تسليم الأعمال طبقاً للمواصفات والمعايير الفنية والجودة المطلوبة.
وأوضح «كمال» أن مشروعات الهيئة القومية ل
والصرف الصحي، ضمن المرحلة الأولى من المبادرة الرئاسية تشمل 78 قرية بمراكز المحافظة، وتضم 19 محطة معالجة تم بدء التشغيل التجريبي لمحطتين منها، إلى جانب 92 محطة رفع وخطوط طرد، تم دخول 25 محطة مراحل تجارب التشغيل، كما تم الانتهاء من شبكات الانحدار في 55 قرية، وجارٍ استكمال الأعمال في باقي المواقع لتحقيق نسبة إنجاز كاملة قبل نهاية العام الجاري.
وأعرب محافظ أسوان عن تقديره الكبير للجهود الوطنية المبذولة من جانب الهيئة القومية لمياه الشرب و
بقيادة اللواء أمين شوقي، والشركة القابضة لمياه الشرب والصرف الصحي برئاسة المهندس أحمد جابر، وكافة الوزارات والجهات والشركات المنفذة، مشيداً بروح التلاحم والعمل الجماعي بين جميع الأطراف تحت إشراف مباشر من دولة رئيس الوزراء الدكتور مصطفى مدبولي، والفريق محمد حجازي، مساعد رئيس الجمهورية لمبادرة ""حياة كريمة"".
وأكد المحافظ أن محافظة أسوان تقدم كل سبل الدعم الفني والإداري لضمان سرعة التنفيذ وفق أعلى معايير الجودة، مشيراً إلى أن المشاركة المجتمعية الفاعلة من أهالي القرى المدرجة ضمن المبادرة تسهم بدور بارز في رفع معدلات الإنجاز، وتحقيق تحول ملموس في مستوى الخدمات والبنية التحتية، بما يجسد أهداف المبادرة الرئاسية في بناء الجمهورية الجديدة وتحسين جودة الحياة للمواطن الأسواني.
وجاء ذلك أثناء ترأس محافظ أسوان، الاجتماع التنسيقي لمتابعة الموقف التنفيذي للمشروعات الجاري تنفيذها بواسطة الهيئة القومية لمياه الشرب والصرف الصحي، في إطار المتابعة الميدانية المستمرة لتحقيق أعلى معدلات إنجاز ضمن مشروعات المبادرة الرئاسية ""حياة كريمة""، وبحضور اللواء ياسر عبد الشافي، معاون المحافظ، والمهندسة سوزان متولي، رئيس الجهاز التنفيذي للهيئة بأسوان، والمهندس ناجي عليان، عضو مجلس إدارة شركة المقاولات المنفذة، وعدد من المختصين والمسؤولين التنفيذىن.",REAL
,https://www.elwatannews.com/news/details/8168950,elwatan,"أصدر المهندس شريف الشربيني، وزير الإسكان والمرافق والمجتمعات العمرانية، 4 قرارات بحركة تكليفات وتنقلات بهيئة المجتمعات العمرانية الجديدة وعددٍ من أجهزة المدن، وذلك في ضوء ظروف العمل ومتطلباته.
ونص القرار الأول لـ
على ندب الدكتور مهندس، وليد عباس عبد القوى - النائب الأول لرئيس مجلس إدارة هيئة المجتمعات العمرانية الجديدة، للعمل بوظيفة مساعد وزير الإسكان والمرافق والمجتمعات العمرانية لشئون هيئة المجتمعات العمرانية الجديدة وهيئة التنمية السياحية لمدة عام بالإضافة إلى عمله.
كما نص القرار الثاني، على تكليف الدكتور أحمد رضا على عليوة عمارة، مدير عام العقود وتسوية المنازعات بهيئة المجتمعات العمرانية الجديدة - معاون المشرف على مكتب الوزير، بالقيام بأعمال وظيفة مساعد نائب رئيس الهيئة لقطاع الشئون العقارية والتجارية بالإضافة إلى ما يكلف به من أعمال أخرى.
وفي قرار ثالث جرى تكليف المهندس محمد مصطفى أحمد مرسى، رئيس جهاز مدينة 6 أكتوبر، بأعمال وظيفة مساعد نائب رئيس هيئة المجتمعات العمرانية الجديدة لقطاع التخطيط والمشروعات.
ونص قرار رابع على تكليف المهندس محمد عبد الله يوسف محفوظ، رئيس جهاز
، بالعمل رئيساً لجهاز تنمية مدينة 6 أكتوبر، والمهندس ياسر عبد الحليم حسن حسن، رئيس جهاز مدينة السادات، بالعمل رئيساً لجهاز تنمية مدينة حدائق أكتوبر، والمهندس محمد عادل أنور محمد السيد، نائب رئيس جهاز مدينة العلمين الجديدة، بالعمل رئيساً لجهاز تنمية مدينة السادات، والمهندس أحمد حسن محمد قاسم، نائب رئيس جهاز مدينة العلمين الجديدة، بالعمل رئيساً لجهاز تنمية القطاع الأول للساحل الشمالي الغربي، والمهندس مصطفى سيد أحمد محمد، معاون هندسي لرئيس جهاز تنمية مدينة حدائق أكتوبر، بالعمل نائباً لرئيس جهاز تنمية مدينة حدائق أكتوبر.",REAL
,https://www.elwatannews.com/news/details/8168932,elwatan,"ألقى الدكتور مصطفى مدبولي رئيس مجلس الوزراء كلمةً خلال مراسم توقيع عقد شراكة استثمارية مصرية قطرية في نطاق منطقة سملا وعلم الروم بالساحل الشمالي الغربيّ بمحافظة مطروح، عبر شراكة استثمارية بين وزارة الإسكان والمرافق والمجتمعات العمرانية، مُمثلة في هيئة المجتمعات العمرانية الجديدة، وشركة الديار القطرية.
ووقع على العقد المهندس شريف الشربيني، وزير الإسكان والمرافق والمجتمعات العمرانية، وعبدالله بن حمد بن عبدالله العطية وزير البلدية ورئيس مجلس إدارة شركة الديار القطرية، وبحضور أحمد كجوك وزير المالية، والمهندس حسن الخطيب، وزير الاستثمار والتجارة الخارجية، والمهندس علي محمد العلي الرئيس التنفيذي لشركة الديار القطرية، والشيخ حمد بن طلال آل ثاني رئيس قطاع التطوير والمشاريع في آسيا وأفريقيا بشركة الديار القطرية، كما حضر الاحتفالية مجموعة بارزة من الإعلاميين ورؤساء التحرير والصحفيين المصريين وممثلي وسائل الإعلام الأجنبية.
وفي بداية كلمته، رحّب رئيس الوزراء بالوزراء من الجانبين المصري والقطري وبجميع الحضور في الحفل التاريخي لتوقيع اتفاق الشراكة للتنمية المتكاملة لمنطقة من المناطق التي وضعتها مصر على رأس أولويات التنمية وهي منطقة الساحل الشمالي الغربي.
وقال مدبولي: «اسمحوا لي في البداية أن أتوجه أولا بالشكر والتهنئة للسيد الرئيس عبدالفتاح السيسي، رئيس الجمهورية، والشيخ تميم بن حمد آل ثاني، أمير دولة قطر، على نجاحنا في الوصول إلى هذا الاتفاق، والذي لولا توجيهاتهما وحرصهما ومتابعتهما الشخصية، ما كان تحقق هذا الاتفاق على أرض الواقع».
وأضاف رئيس الوزراء: «كانت زيارة السيد الرئيس عبدالفتاح السيسي، رئيس الجمهورية، إلى العاصمة القطرية الدوحة والاتفاق مع الشيخ تميم بن حمد آل ثاني، أمير دولة قطر، على ضخ استثمارات قطرية في مصر، هي البداية لتفعيل هذا المشروع العملاق، كما أشكر الشيخ محمد بن عبدالرحمن، رئيس مجلس الوزراء، وزير الخارجية، على جهوده ومتابعته المستمرة في هذا الملف.
وتابع مدبولي: أود كذلك أن أتقدم بالشكر إلى عبدالله بن حمد العطية وزير البلدية القطري، ورئيس مجلس إدارة شركة الديار القطرية، كما أتوجه بالشكر لزملائي وزراء: المالية والاستثمار والتجارة الخارجية والإسكان والمرافق والمجتمعات العمرانية على جهدهم الكبير في التوصل إلى هذا الاتفاق.
كما توجه رئيس الوزراء بشكر خاص لفريق العمل المجهول الذي شارك في عملية التفاوض التي استمرت على مدار شهور من أجل الوصول إلى هذا الاتفاق الناجح، وهذا الفريق من الجانب القطري قاده الشيخ حمد بن طلال آل ثاني، رئيس قطاع التطوير والمشاريع في آسيا وأفريقيا بشركة الديار القطرية، فيما قادت فريق العمل المصري المهندسة راندة المنشاوي، مساعد أول رئيس مجلس الوزراء، والمستشار شريف الشاذلي، رئيس هيئة مستشاري مجلس الوزراء.
وأكد مدبولي أن فريقي العمل من الجانبين عقدا على مدار الشهور الماضية اجتماعات يومية، وحدث خلال هذه الفترة الكثير من النقاشات والاختلافات، وكنت أتدخل بصورة شخصية لكي نصل إلى ما وصلنا إليه اليوم، قائلا: مرة أخرى أتوجه بالشكر والتقدير للجميع الذين حضروا اليوم للاحتفال بهذا المشروع.
وأضاف: قبل أن أتحدث بالتفصيل عن هذا المشروع الكبير، أود الإشارة إلى أنني قمت اليوم بافتتاح مصنعين كبيرين في مصر، وهنا يجب أن أذكر الجميع أن الدولة قد أعلنت أن الاقتصاد المصري بعد عملية الإصلاح الكبيرة التي نفذتها الحكومة المصرية، ويجب هنا أن نوجه الشكر للمواطن المصري الذي تحمّل معنا إجراءات الإصلاح، كما يقول الرئيس السيسي دائما- الاقتصاد المصري يشهد اليوم انطلاقة كبيرة للغاية من خلال التركيز على أربعة قطاعات رئيسية وهي: الصناعة، والزراعة، والاتصالات وتكنولوجيا المعلومات، بالإضافة إلى قطاع السياحة، مضيفا أنه فيما يخص قطاع الصناعة، نرى بصورة دورية افتتاحات لمصانع جديدة، لافتًا إلى أن قطاع الصناعة، مع زيادة معدلات التصدير، يقود عمليات النمو المتسارعة جنبا إلى جنب مع القطاعات الأخرى.
وأضاف: قطاع الزراعة يحقق أرقاما إيجابية فيما يتعلق بالصادرات الزراعية المصرية، وكذا المشروعات العملاقة التي تقوم بها الدولة مثل مشروعات الدلتا الجديدة وجميع مشروعات الاستصلاح الزراعي الكبيرة التي تضيف ملايين الأفدنة إلى الرقعة الزراعية المصرية، وهو ما سيسهم خلال السنوات القليلة القادمة في تحقيق مردود إيجابي على الاقتصاد المصري وعلى تحقيق الاكتفاء الذاتي.
وفيما يخص قطاع الاتصالات وتكنولوجيا المعلومات، أوضح رئيس الوزراء أنه قطاع يمثل قاطرة تنمية للشباب المصري، مشيرًا إلى أن مصر تتقدم على دول كثيرة في صناعة التعهيد، وموضحًا أن هناك زيارة يوم الأحد القادم لتوقيع 50 مشروعا جديدا مع 50 شركة كبرى ستبدأ في التوسع في العمل في مجال التعهيد.
كما تطرق مدبولي إلى قطاع السياحة، مؤكدًا أن جميع المصريين سعداء للغاية بافتتاح الصرح العالمي ""المتحف المصري الكبير"" والذي يُعد هدية مصر للعالم، تقدمه مصر لكل الإنسانية، مشيرًا إلى ردود الأفعال الإيجابية التي ظهرت خلال هذه الاحتفالية واحتفاء العالم كله بافتتاح المتحف.
واستطرد رئيس الوزراء بعد ذلك للحديث عن زيارته الأخيرة إلى دولة قطر الشقيقة لحضور القمة العالمية الثانية للتنمية الاجتماعية التابعة للأمم المتحدة ، قائلًا: في أثناء حضوري هذه القمة، لا يوجد زعيم أو رئيس مؤسسة قابلته إلا وكانت بداية كلمته تتضمن تهنئة لمصر وللسيد الرئيس عبدالفتاح السيسي رئيس الجمهورية، بافتتاح المتحف المصري الكبير، معربين عن انبهارهم بما شاهدوه وتطلعهم لزيارة المتحف.
وفي سياق متصل أكد رئيس الوزراء أن قطاع السياحة يأتي على قمة الأولويات للدولة المصرية، حيث تركز الحكومة بصورة قوية على تنمية المناطق الساحلية في مصر سواء الساحل الشمالي، أو ساحل البحر الأحمر، بالإضافة إلى المدن الكبرى والتي تتمتع بالتراث، موضحًا أنه وفقًا لرؤية مصر 2030 والمخطط القومي للتنمية العمرانية سيكون الساحل الشمالي المصري قادرا علي استيعاب أكثر من 17 مليون نسمة، قائلا: هذه كانت رؤيتنا لتنمية هذه المنطقة.
وتابع: لذلك تم البدء بمشروعات كبيرة وعملاقة، وكانت البداية بمدينة العلمين الجديدة لتقود عملية التنمية وأن تكون جاذبة للاستثمار الأجنبي المباشر ولتعريف المستثمرين بمقومات الساحل الشمالي، وهو ما حدث بالفعل وبمجرد البدء في تنفيذ مدينة العلمين الجديدة وبمجرد قيام الدولة بالإنفاق على البنية الأساسية لهذه المنطقة، تم تنفيذ مشروعات كبرى جديدة في الساحل الشمالي وتم تشغيلها بالفعل.
وأضاف رئيس الوزراء: نسعد اليوم بتوقيع هذا المشروع الكبير "" علم الروم "" والذي يُعد من أكبر المشروعات العقارية القطرية على مستوى العالم.",REAL
,https://www.elwatannews.com/news/details/8168980,elwatan,"التقى الدكتور مصطفى مدبولي، رئيس مجلس الوزراء، اليوم، بالعاصمة الجديدة، محمد عبد اللطيف، وزير التربية والتعليم والتعليم الفني؛ لاستعراض عدد من ملفات عمل الوزارة.
وخلال اللقاء، استعرض وزير التربية التعليم والتعليم الفني، خطة الوزارة للتوسع في تطوير منظومة المدارس المصرية اليابانية، موضحًا أن العدد الحالي لهذه المدارس وصل إلى 69 مدرسة بعد افتتاح 18 مدرسة جديدة، مما يعكس نجاح التجربة وثقة الدولة في النموذج التعليمي الياباني الذي يركز على تنمية شخصية الطلاب ومهاراتهم الحياتية، مستعرضًا نتائج زيارته الأخيرة إلى اليابان، حيث تم توقيع مذكرة تفاهم لاعتماد شهادة للطلاب الذين يجتازون اختبار ""توفاس""، والتي تصدر بالتعاون بين جامعة هيروشيما ومؤسسة ""سبريكس"" ووزارة التربية والتعليم، مؤكدًا أن هذه الخطوة تمثل تقدمًا كبيرًا نحو الاعتراف الدولي بالمهارات التعليمية للطلاب المصريين.
وأشار السيد محمد بعد اللطيف، إلى انطلاق المرحلة الثانية من البرنامج القومي لتنمية مهارات اللغة العربية، والذي يستهدف ما يقارب نحو نصف مليون طالب وطالبة من الصف الثالث إلى الصف السادس الابتدائي في ألف مدرسة موزعة على عشر محافظات تشمل: «المنيا، البحيرة، كفر الشيخ، الوادي الجديد، قنا، مطروح، الأقصر، بني سويف، بورسعيد والدقهلية».
وأضاف: أن البرنامج يهدف إلى تطوير مهارات الطلاب اللغوية وتعزيز قدراتهم على التعبير والفهم القرائي، فضلًا عن دوره في دعم جهود الدولة لترسيخ الهوية اللغوية والثقافية المصرية، وبناء جيل واعٍ ومتمكن من لغته العربية، باعتبارها أساسًا للمعرفة والابتكار والتواصل الفعال.
كما استعرض الوزير – خلال اللقاء - نتائج جولاته الميدانية التي تضمنت تفقد عدد من المدارس ومتابعة سير العملية التعليمية في مختلف المحافظات، موضحًا أن الهدف من هذه الجولات هو التأكد من انتظام الحضور وتطبيق الإجراءات التعليمية والإدارية داخل الفصول الدراسية، فضلًا عن الاطلاع بشكل مباشر على الواقع الفعلي للمدارس وتحديد احتياجاتها، بالإضافة إلى تعزيز بيئة تعليمية محفزة تقوم على التفاعل، مما يسهم في تنمية مهارات الطلاب التعليمية من خلال اللعب والأنشطة، بالإضافة إلى ترسيخ قيم الانضباط والالتزام في البيئة المدرسية.",REAL
,https://www.elwatannews.com/news/details/8168981,elwatan,"أشاد اللواء محمد صلاح أبو هميلة، رئيس الهيئة البرلمانية لحزب الشعب الجمهوري بمجلس النواب، الأمين العام للحزب، بتوقيع الصفقة الاستثمارية القطرية المصرية اليوم والتي تمت بتوقيع عقد شراكة بين شركة الديار القطرية وهيئة المجتمعات العمرانية، وذلك لتنفيذ مشروع تطوير وتنمية مساحة 4900 فدان في منطقة سملا وعلم الروم بالساحل الشمالي الغربي بمحافظة مطوح، موضحا أن الشركة القطرية ستضخ استثمارات بنحو 29.7 مليار دولار وستحصل هيئة المجتمعات العمرانية على حصة نقدية وعينية من المشروع.
وأضاف أبو هميلة، أن المشروع استثماري سياحي ضخم، يتضمن إنشاء مجمعات وأحياء سكنية راقية ومشروعات سياحية وترفيهية، وبحيرات صناعية مفتوحة، وملاعب جولف، ومارينا سياحي دولي، و2 مارينا محلية داخلية، وغيرها، موضحا أن هذه الصفقة تعد ثاني أكبر صفقة استثمارية بعد صفقة
التي تمت العام الماضي، مضيفا أنها تعكس نجاح الدولة المصرية في جذب الاستثمارات العالمية في المناطق الساحلية خاصة الساحل الشمالي والبحر المتوسط، موضحا أن المشروع سيعزز من جاذبية المنطقة للاستثمارات الأجنبية، كما يؤكد عمق العلاقات والشراكة الاقتصادية بين مصر وقطر وهي تمهد لشراكات استراتيجية وجذب استثمارات قطرية وخليجية جديدة خلال الفترة المقبلة.
وأشار أبو هميلة، إلى أن المشروع السياحي الضخم يحفز الاستثمارات الأجنبية ويوفر فرص العمل المباشرة وغير المباشرة، وينشيط حركة السياحة الداخلية والخارجية، ويعزز البنية التحتية في واحدة من أكثر المناطق الواعدة في مصر، ويعكس الثقة في الاقتصاد الوطني وقدرته على تحقيق النمو، وهي تؤكد قدرة الدولة على جذب المزيد من الاستثمارات الأجنبية المباشرة وأنها أصبحت وجهة مفضلة للمستمرين الأجانب، موضحا أن هذا النوع من الشركات الاقتصادية يوفر الآلاف من فرص العمل ويحفز الاقتصاد الوطني ما سيكون له تأثير إيجابى على مستوى المعيشة، كما أنه يحفز
ويرفع من مستوى الإنتاجية، إضافة إلى أن دخول 3.5 مليار دولار للاحتياطي النقدي الأجنبي يسهم في تراجع سعر صرف الدولار وارتفاع قيمة العملة المحلية.",REAL
,https://www.elwatannews.com/news/details/8168978,elwatan,"أكد الدكتور أحمد الشرقاوي، وكيل قطاع المعاهد الأزهرية، أن تنوع المذاهب والمدارس الفكرية مصدر ثراء للأمة وليس سببًا للفرقة، مشيرًا إلى أن هذا التنوع دليل على سعة الشريعة ورحمتها.
وأوضح خلال الندوة الدولية المشتركة بين الأزهر الشريف و
بعنوان «تجارب رائدة وآفاق مستقبلية في تعزيز قيم الاعتدال والوسطية» أن بعض الأحداث حولت هذا الثراء الفكري إلى نزاعات مذهبية شوهت مفهوم الوسطية، مؤكدًا أن الدفاع عن الوسطية هو دفاع عن وحدة الأمة.
وأشار إلى أن الأزهر والشؤون الإسلامية بالسعودية يقودان مشروعًا فكريًا متوازنًا يعيد للدين وجهه المشرق، ويعزز قيم التسامح والاعتدال، موضحًا أن الاختلاف في الرأي لا يفسد الأخوة الإنسانية، بل يثري الفكر ويقوي الوحدة.
وشدد «الشرقاوي» على أن الوسطية ليست تساهلًا ولا تمييعًا، بل فقه دقيق يدرك أن الجمود خيانة لروح الشريعة، مؤكدًا أن الإسلام دين رحمة وعدل، جاء لإعمار الأرض وتحقيق مصالح العباد.
وكشف عن تنظيم
مؤتمرًا للحوار الإسلامي – الإسلامي في أبريل المقبل بالتعاون مع مجلس حكماء المسلمين، استكمالًا لجهوده في لمّ الشمل ونشر الفكر الوسطي، مؤكدًا أن المستقبل مرهون بجيل يجمع بين الأصالة والمعاصرة ويجعل من الوسطية منهج حياة.",REAL
,https://www.elwatannews.com/news/details/8168958,elwatan,"أعلنت وزارة الثقافة بحث التفاصيل النهائية الخاصة بترتيبات انطلاق فعاليات الدورة السادسة والأربعين من مهرجان القاهرة السينمائي الدولي، خلال الفترة من 12 حتى 21 نوفمبر الجاري، وما تتضمنه الدورة الجديدة من فعاليات وبرامج واحتفاءات سينمائية تُجسّد مكانة القاهرة كعاصمة للفن والإبداع.
وأعرب الفنان حسين فهمي رئيس المهرجان، عن خالص تقديره لاهتمام ودعم
، مؤكدًا أن هذا الدعم يمثل حجر الأساس في نجاح المهرجان واستمراره كمنصة فنية عالمية ذات هوية مصرية أصيلة، كما استعرض الترتيبات النهائية الخاصة بحفل الافتتاح وحضور الضيوف من حول العالم، إلى جانب البرامج الفنية وعروض الأفلام المشاركة في المسابقة الرسمية.
وأشار رئيس المهرجان، في بيان صحفي، إلى أن الدورة 46 ستشهد تطويرًا في آليات التنظيم والعرض، بما يواكب أحدث التوجهات في
عالميًا، مع حرص إدارة المهرجان على تعزيز مشاركة الشباب والفنانين المستقلين، وفتح آفاق جديدة للحوار بين الأجيال الفنية المختلفة بما يُثري المشهد السينمائي المصري والعربي، مؤكدا أن مهرجان القاهرة السينمائي الدولي سيظل علامة مضيئة في مسيرة الإبداع المصري، وجسرا للتواصل الحضاري والإنساني بين مصر والعالم.",REAL
