Title,Link,website,Article_Text
في بث مباشر معتمر الحرم يكشف تفاصيل ما حدث ويشكر السعودية,https://www.masrawy.com/news/news_publicaffairs/details/2025/11/6/2885923/%D9%81%D9%8A-%D8%A8%D8%AB-%D9%85%D8%A8%D8%A7%D8%B4%D8%B1-%D9%85%D8%B9%D8%AA%D9%85%D8%B1-%D8%A7%D9%84%D8%AD%D8%B1%D9%85-%D9%8A%D9%83%D8%B4%D9%81-%D8%AA%D9%81%D8%A7%D8%B5%D9%8A%D9%84-%D9%85%D8%A7-%D8%AD%D8%AF%D8%AB-%D9%88%D9%8A%D8%B4%D9%83%D8%B1-%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9#HpFeature,masrawy,"كشف المقيم المصري عبد العزيز صاحب واقعة الحرم المكي، تفاصيل الواقعة التي أثارت الجدل وما حدث بينه وبين الشرطي السعودي.
وقال عبد العزيز في بث مباشر: ""السلام عليكم ورحمة الله أنا عبد العزيز صاحب واقعة الحرم أو حاجة، أحب أشكر المملكة العربية السعودية، حفظ الله بلادنا وبلاد المسلمين"".
وأوضح عبد العزيز، أنه لا يرغب في الظهور بتلك الصورة ولا أن يتعرض أحد للأذى بسببه، مؤكداً أنه كان متوجهًا لأداء العمرة، مضيفًا ""بالنسبة للفيديو المنتشر مش حابب والله أن أنا أطلع في الصورة دي ولا حابب إن حد يتأذي بسببي.. أنا راجل طالع أعمل عمرة، أزور بيت ربنا، طالع أفضي كل حاجة جوايا"".
وأشار إلى أن نشر الفيديو لم يكن ضروريًا، وأن المملكة تدخلت في الوقت المناسب، مؤكداً أنه توجه إلى مكتب الأمن داخل الحرم فورًا وشكر العاملين هناك على ما وصفه بـ""الاحترام والأخلاق"".
وقال: الموضوع ما زي ما الناس صورته، كل مصري وكل مغترب بيحصل كده لا، إحنا كلنا مسلمين ملهاش علاقة أنا مصر أو هو سعودي، كل شخص يسئ لشخصه مش للمكان اللي هو منه.




وحذر عبد العزيز من تداول مقطع الفيديو، مؤكداً أنه لن يسامح من ينشره وأنه ""سيشتكي"" من يفعل ذلك، مؤكدًا أنه لا يريد أن يلحق الضرر بنفسه أو بالشرطي، مشيرًا إلى احترامه للقوات السعودية ومثنيًا على تعاملهم معه قائلًا: ""الشرطة السعودية في منتهى الأدب والاحترام ومشوفناش منهم سواء دلوقتي أو قبل كده"".
وأوضح أنه لا يعتبر نفسه مقيمًا في المملكة، بل هو في ""بلده الثاني""، وردّ على من طالبه بأخذ حقه قائلًا: ""أنا راجل في بيت ربنا، مش همد إيدي على حد أنا رايح أعمل عمرة مش أعمل مشاكل"".
وخاطب من وصفهم بمثيري الفتن بالقول: ""اللي يرفع أي حاجة ياريت تتمسح بلاش فتن، أنت هتستفاد إيه لما الشرطي يتأذي""، مؤكدًا أن السلطات السعودية تعطي كل شخص حقه بغض النظر عن جنسيته، مختتمًا حديثه ""إحنا هنا في بلد الأمن والأمان"".
وقبل يومين أثار مقطع فيديو لطريقة تعامل شرطي مع رجل وسيدة في الحرم المكي حالة الجدل على مواقع التواصل الاجتماعي، حيث أظهر الفيديو جذب شرطي سيدة من يدها بقوة ليدفعها للوقوف وترك مكان في الحرم المكي، قبل أن يتم القطع على مشهد ثان لدفع الشرطي لمعتمر طالبه بعدم استعمال يده. وسط مشادة محتدمة بينهما.




وانتقد معلقون تعامل الشرطي، لكن في المقابل دافع آخرون عنه واعتبروا أن الرجل والسيدة دفعاه لذلك لتجاهلهما التعليمات.
وفي تغريدة على صفحتها الرسمية على تويتر، قالت قوات الأمن السعودية إن القوات الخاصة لأمن الحج والعمرة باشرت - في حينه - ضبط شخص ظهر في محتوى مرئي مخالفا للتعليمات والتنظيمات المتبعة في المسجد الحرام. وأشارت إلى استكمال الإجراءات النظامية حياله.



"
بالأرقام والتفاصيل كل ما تريد معرفته عن مشروع علم الروم بين مصر وقطر,https://www.masrawy.com/news/news_egypt/details/2025/11/6/2885949/%D8%A8%D8%A7%D9%84%D8%A3%D8%B1%D9%82%D8%A7%D9%85-%D9%88%D8%A7%D9%84%D8%AA%D9%81%D8%A7%D8%B5%D9%8A%D9%84-%D9%83%D9%84-%D9%85%D8%A7-%D8%AA%D8%B1%D9%8A%D8%AF-%D9%85%D8%B9%D8%B1%D9%81%D8%AA%D9%87-%D8%B9%D9%86-%D9%85%D8%B4%D8%B1%D9%88%D8%B9-%D8%B9%D9%84%D9%85-%D8%A7%D9%84%D8%B1%D9%88%D9%85-%D8%A8%D9%8A%D9%86-%D9%85%D8%B5%D8%B1-%D9%88%D9%82%D8%B7%D8%B1#HpFeature,masrawy,"أعلن الدكتور مصطفى مدبولي، رئيس مجلس الوزراء، عن تنفيذ مشروع استثماري عملاق لتطوير وتنمية قطعة أرض تبلغ مساحتها نحو 4900.99 فدان، أي ما يعادل 20 مليونًا و588 ألفًا و235 مترًا مربعًا، لتنمية منطقة علم الروم بالساحل الشمالي الغربي بمحافظة مطروح، وذلك في إطار شراكة استثمارية بين مصر ودولة قطر تهدف إلى تنشيط التنمية السياحية والعمرانية في المنطقة.
ويتضمن الاتفاق المبرم مع الشركة القطرية جزأين رئيسيين من الناحية المالية؛ الأول يتمثل في ثمن نقدي يبلغ 3.5 مليار دولار أمريكي، سيتم تحويله بالكامل من المستثمر قبل نهاية العام الجاري، والجزء الثاني فهو مقابل عيني يشمل مساحة بنائية من المكون السكني بالمشروع، في صورة وحدات سكنية يُنتظر أن تُحقق من بيعها قيمة تقديرية تصل إلى 1.8 مليار دولار بعد استلامها وتسويقها.
وبحسب الاتفاق، فإن الهيئة العامة للمجتمعات العمرانية الجديدة ستحصل على نسبة 15% من صافي أرباح المشروع، بعد استرداد التكلفة الاستثمارية بالكامل، سواء من شركة المشروع أو من الكيانات التابعة والمملوكة لشركة ""الديار القطرية"".
تشير تفاصيل المشروع إلى أن نسبة أراضي الإسكان تمثل نحو 60% من إجمالي المساحة، بينما تخصص 15% للمناطق الخدمية التي تشمل المنشآت التجارية والإدارية، وتُخصص 25% للمساحات الخضراء والطرق والميادين العامة.
يُعد المشروع أحد أكبر المشاريع الاستثمارية في الساحل الشمالي، بإجمالي استثمارات تقديرية تصل إلى نحو 29.7 مليار دولار أمريكي، ومن المتوقع أن يُسهم في توفير أكثر من 250 ألف فرصة عمل مباشرة وغير مباشرة خلال مراحل التنفيذ والتشغيل.
كان استقبل محمد بن عبد الرحمن بن جاسم آل ثاني، رئيس مجلس الوزراء وزير الخارجية بدولة قطر، الدكتور مصطفى مدبولي، رئيس مجلس الوزراء، على هامش القمة الأولى لقادة التحالف العالمي لمكافحة الجوع والفقر، والتي تنعقد في العاصمة القطرية الدوحة، ويشارك فيها الدكتور مصطفى مدبولي، نيابة عن الرئيس عبد الفتاح السيسي.
حضر اللقاء الدكتورة مايا مرسي، وزيرة التضامن الاجتماعي، والسفير وليد الفقي، سفير مصر لدى قطر.
وقد تم التوافق على تفعيل حزمة الاستثمارات القطرية بمصر، والتي كانت ضمن مباحثات سابقة للرئيس عبد الفتاح السيسي، مع الأمير تميم بن حمد آل ثاني، والتي سيبدأ تفعيلها خلال الأيام المقبلة بتوقيع عقد شراكة استثمارية مصرية قطرية كبرى خلال الأيام المقبلة لتنمية مشروع بمنطقة ""سملا وعلم الروم"" بمطروح.
وشهد اللقاء ترحيب محمد بن عبد الرحمن بن جاسم آل ثاني بالدكتور مصطفى مدبولي، والوفد المرافق له، ومشاركته نيابة عن الرئيس عبد الفتاح السيسي، في القمة الأولى لقادة التحالف العالمي لمكافحة الجوع والفقر، وكذلك القمة العالمية الثانية للتنمية الاجتماعية.
كما قدم رئيس الوزراء القطري التهنئة لرئيس الجمهورية، ولرئيس مجلس الوزراء، وللشعب المصري؛ بمناسبة الافتتاح الرسميّ للمتحف المصري الكبير، مشيدًا بالاحتفالية المبهرة التي أقيمت بهذه المناسبة.
وأكد محمد بن عبد الرحمن بن جاسم آل ثاني، الحرص على توطيد أطر العلاقات الثنائية التي تربط بين البلدين في مختلف المجالات، ودعم وتفعيل الاستثمارات القطرية في مصر في عدة قطاعات مختلفة، مبديًا دعم بلاده الكامل للجهود المصرية على مختلف الأصعدة، ومُثنيًا على التنسيق المتواصل بين البلدين في الملف الفلسطيني، كما أعرب عن التطلع إلى استمرار التنسيق المشترك في عدد من الملفات الأخرى، بما يعود بالنفع على البلدين والمنطقة، وتحقيق ما يخدم شعوبها.
وخلال اللقاء، نقل الدكتور مصطفى مدبولي، تحيات الرئيس عبد الفتاح السيسي، للأمير تميم بن حمد آل ثاني، أمير دولة قطر، كما أعرب عن سعادته بلقاء الشيخ محمد بن عبد الرحمن بن جاسم آل ثاني، منوهًا إلى أنه شرُف بالمشاركة ـ نيابة عن الرئيس عبد الفتاح السيسي ـ في القمة الأولى لقادة التحالف العالمي لمكافحة الجوع والفقر، كما يشارك في قمة التنمية الاجتماعية، تقديرًا من الدولة المصرية ورئيس الجمهورية للدور المهم الذي تقوم به قطر في مختلف القضايا، واعتزازًا بالروابط القوية التي تجمع بين البلدين، والحرص على تدعيمها، وتوسيع أطر التعاون في مختلف المجالات خلال الفترة المقبلة، لا سيما ما يتعلق بالتعاون الاقتصادي والاستثماري والتبادل التجاري.
وصرح المستشار محمد الحمصاني، المتحدث الرسميّ باسم رئاسة مجلس الوزراء، بأن اللقاء شهد تناول عدد من الموضوعات والقضايا ذات الاهتمام المشترك بين البلدين، وخاصة ما يتعلق بمستجدات الأوضاع في قطاع غزة، بالإضافة إلى جهود تنفيذ اتفاق شرم الشيخ للسلام الخاص بوقف إطلاق النار.
وأضاف المتحدث الرسميّ: تم التطرق إلى أهمية دفع العمل لتنفيذ توصيات ومقررات الدورة السادسة للجنة العليا المصرية القطرية المشتركة التي عقدت في أغسطس الماضي بمدينة العلمين الجديدة، بما يكفل تعزيز العلاقات بين البلدين، فضلًا عن تأكيد أهمية العمل على تنفيذ مذكرات التفاهم المبرمة خلال تلك الدورة، بما يسهم في تحقيق مصلحة الجانبين."
صورة عفوية سر الرحلة التي قام بها رشاد وزوجته من قنا للمتحف المصري  ,https://www.masrawy.com/news/news_regions/details/2025/11/6/2885955/%D8%B5%D9%88%D8%B1%D8%A9-%D8%B9%D9%81%D9%88%D9%8A%D8%A9-%D8%B3%D8%B1-%D8%A7%D9%84%D8%B1%D8%AD%D9%84%D8%A9-%D8%A7%D9%84%D8%AA%D9%8A-%D9%82%D8%A7%D9%85-%D8%A8%D9%87%D8%A7-%D8%B1%D8%B4%D8%A7%D8%AF-%D9%88%D8%B2%D9%88%D8%AC%D8%AA%D9%87-%D9%85%D9%86-%D9%82%D9%86%D8%A7-%D9%84%D9%84%D9%85%D8%AA%D8%AD%D9%81-%D8%A7%D9%84%D9%85%D8%B5%D8%B1%D9%8A-#HpFeature,masrawy,"قنا - عبدالرحمن القرشي :
شهدت مواقع التواصل الاجتماعي خلال اليومين الماضيين تداولًا واسعًا لصورة عفوية تجمع زوجين من صعيد مصر، وتحديدًا من محافظة قنا، ظهرا خلالها في حالة ذهول وانبهار أمام المتحف المصري الكبير في أول أيام افتتاحه.
الزوج، رشاد الصغير، من قرية خوالد أبوشوشة التابعة لمركز أبوتشت محافظة قنا، تحدث عن كواليس الصورة قائلاً: إنه قرر اصطحاب زوجته وابنته الصغرى في رحلة عائلية إلى القاهرة، خصيصًا لحضور افتتاح المتحف المصري الكبير، ورؤية الصرح الذي يمثل أكبر متحف أثري في العالم.
ويقول الصغير: ""ذهبت مع زوجتي وابنتي الصغيرة، بينما لم يتمكن أبنائي الأربعة الآخرون، ثلاثة منهم أطباء والرابع محامٍ، من مرافقتنا لانشغالهم في أعمالهم. أردت فقط أن نرى هذا الإنجاز بأعيننا"".
ويتابع: ""لحظة مشاهدة المتحف كانت أكبر مني ومن زوجتي. توقفنا دون كلام، وشعرنا بالفخر. لم نفكر في الصورة أو في أننا سنصبح حديث الناس"".
ويؤكد أن اللقطة لم تكن معدة مسبقًا، بل جاءت تلقائية فور رؤيتهم للصرح المعماري الضخم والقطع الأثرية المبهرة المعروضة في ساحاته، مضيفًا: “كنا أمام تحفة معمارية تشهد على تاريخ مصر وعظمتها. لم أتوقع أن نصبح تريند أو أن تنال الصورة هذا التفاعل"".
وخلال ساعات قليلة، انتشرت صورة الزوجين على مواقع التواصل، مرفقة بتعليقات تشيد بجمال اللحظة وصدقها، معتبرين أن رد الفعل العفوي يعكس قيمة المتحف في نفوس المصريين، وبأنه ليس مجرد مكان للعَرض، بل تجربة إنسانية تُحرك المشاعر."
حريق بيجام كيف قتل شاحن الموبايل أسرة كاملة في شبرا الخيمة فيديو وصور,https://www.masrawy.com/news/news_regions/details/2025/11/6/2885928/%D8%AD%D8%B1%D9%8A%D9%82-%D8%A8%D9%8A%D8%AC%D8%A7%D9%85-%D9%83%D9%8A%D9%81-%D9%82%D8%AA%D9%84-%D8%B4%D8%A7%D8%AD%D9%86-%D8%A7%D9%84%D9%85%D9%88%D8%A8%D8%A7%D9%8A%D9%84-%D8%A3%D8%B3%D8%B1%D8%A9-%D9%83%D8%A7%D9%85%D9%84%D8%A9-%D9%81%D9%8A-%D8%B4%D8%A8%D8%B1%D8%A7-%D8%A7%D9%84%D8%AE%D9%8A%D9%85%D8%A9-%D9%81%D9%8A%D8%AF%D9%8A%D9%88-%D9%88%D8%B5%D9%88%D8%B1#HpFeature,masrawy,"القليوبية - أسامة عبدالرحمن:
كشف مصدر أمني أن سبب الحريق المروع الذي اندلع في شقة سكنية بالطابق السابع بإحدى عقارات شارع عزيز المصري بمنطقة بيجام في شبرا الخيمة بمحافظة القليوبية، كان ماسًا كهربائيًا ناتجًا عن شاحن هاتف محمول.
 
وأسفر الحريق المروع عن وفاة أسرة كاملة مكونة من أم وجدة وأربعة أطفال، بينهم طفل من ذوي الهمم.
وأكد المصدر أن الحريق اندلع أثناء نوم أفراد الأسرة، ما أدى لاختناقهم بالدخان الكثيف قبل أن تلتهم النيران باب الشقة، ما حال دون خروجهم وتسبب في مصرعهم جميعًا على الفور.
وانتقلت فرق الحماية المدنية إلى مكان الحادث وتمكنت من السيطرة على النيران ومنع امتدادها إلى باقي العقار والمباني المجاورة، بينما نُقلت الجثامين إلى مستشفى ناصر العام تحت تصرف النيابة العامة.
من جهتها، انتدبت النيابة العامة المعمل الجنائي للوقوف على أسباب الحريق وتقدير الخسائر المادية، كما كلفت المباحث الجنائية باستكمال التحقيقات تمهيدًا لاتخاذ الإجراءات القانونية اللازمة."
طلقني يضع كريم محمود عبدالعزيز في صدارة التريند ويشعل شائعات ارتباطه,https://www.masrawy.com/arts/zoom/details/2025/11/6/2885907/-%D8%B7%D9%84%D9%82%D9%86%D9%8A-%D9%8A%D8%B6%D8%B9-%D9%83%D8%B1%D9%8A%D9%85-%D9%85%D8%AD%D9%85%D9%88%D8%AF-%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D8%B9%D8%B2%D9%8A%D8%B2-%D9%81%D9%8A-%D8%B5%D8%AF%D8%A7%D8%B1%D8%A9-%D8%A7%D9%84%D8%AA%D8%B1%D9%8A%D9%86%D8%AF-%D9%88%D9%8A%D8%B4%D8%B9%D9%84-%D8%B4%D8%A7%D8%A6%D8%B9%D8%A7%D8%AA-%D8%A7%D8%B1%D8%AA%D8%A8%D8%A7%D8%B7%D9%87#HpFeature,masrawy,"دخل النجم كريم محمود عبدالعزيز، قوائم تريند في موقع البحث ""جوجل""، بالتزامن مع عودة شائعات ارتباطه والنجمة دينا الشربيني.
وبدأت الشائعات تطارد كريم عبدالعزيز، والنجمة دينا الشربيني، بعد مشاركتهما في بطولة فيلم ""الهنا اللي أنا فيه""، إلى جانب نجوم العمل، ياسمين رئيس، حاتم صلاح، مريم الجندي، محسن منصور، أوتاكا، ياسر الطوبجي، معتز التوني، ومن تأليف أيمن بهجت قمر، وإخراج خالد مرعي.
وأشعلت الصحفية اللبنانية هنادي عيسى، في أبريل الماضي، الجدل حول النجم كريم عبد العزيز، بعد نشرها عبر صفحتها في موقع فيسبوك، صورة تجمع النجمة دينا الشربيني، و النجم كريم محمود عبد العزيز من فيلم ""الهنا اللي أنا فيه""
وكتبت: ""خاص- النجمة المصرية دينا الشربينى مرتبطة بقصة حب كبيرة بالنجم المصري كريم محمود عبد العزيز وهناك نية للزواج وطبعا زوجته زعلانة جدا ولا تعرف كيف تتصرف في هذه القصة، يذكر أن كريم متزوج ولديه ثلاثة بنات، ودينا كانت مرتبطة بالنجم عمرو دياب"".
ومع تصاعد الجدل، نشر كريم محمود عبدالعزيز، عبر صفحته في موقع ""إنستجرام"" صورة تجمعه بزوجته وأم أولاده آن الرفاعي، وذلك للرد على أنباء انفصالهما، وعلق كريم: "" I LOVE YOU-بحبك"".
وتصدر الثنائي كريم محمود عبد العزيز ودينا الشربيني، مواقع التواصل مجددا، مع اقتراب موعد عرض ثاني أفلامهما معا، فيلم ""طلقني"" المقرر طرحه في دور السينما في ديسمبر المقبل، والفيلم من تأليف أيمن بهجت قمر، وإخراج خالد مرعي.
يُذكر أن كريم محمود عبد العزيز تزوج من آن الرفاعي عام 2011، ورُزق كريم بثلاث بنات هن، كندة عام 2012، وخديجة عام 2015، وحبيبة عام 2020."
ثلاثي هجومي تشكيل الأهلي الرسمي لمواجهة سيراميكا كليوباترا في كأس السوبر,https://www.masrawy.com/sports/sports_news/details/2025/11/6/2885966/-%D8%AB%D9%84%D8%A7%D8%AB%D9%8A-%D9%87%D8%AC%D9%88%D9%85%D9%8A-%D8%AA%D8%B4%D9%83%D9%8A%D9%84-%D8%A7%D9%84%D8%A3%D9%87%D9%84%D9%8A-%D8%A7%D9%84%D8%B1%D8%B3%D9%85%D9%8A-%D9%84%D9%85%D9%88%D8%A7%D8%AC%D9%87%D8%A9-%D8%B3%D9%8A%D8%B1%D8%A7%D9%85%D9%8A%D9%83%D8%A7-%D9%83%D9%84%D9%8A%D9%88%D8%A8%D8%A7%D8%AA%D8%B1%D8%A7-%D9%81%D9%8A-%D9%83%D8%A3%D8%B3-%D8%A7%D9%84%D8%B3%D9%88%D8%A8%D8%B1#HpFeature,masrawy,"أعلن الدنماركي ياس توروب، المدير الفني للنادي الأهلي، تشكيل الفريق، لمواجهة سيراميكا كليوباترا، في المباراة المقرر لها بعد قليل، في إطار منافسات كأس السوبر المصري.
ومن المقرر انطلاق صافرة بداية المباراة، في تمام الساعة الخامسة مساءً بتوقيت القاهرة، على ملعب ""هزاع بن زايد"" بالإمارات.
حراسة المرمى: محمد الشناوي
خط الدفاع: محمد هاني، ياسين مرعي، ياسر إبراهيم وأحمد نبيل كوكا.
خط الوسط: أليو ديانج، مروان عطية، أحمد سيد زيزو
خط الهجوم: أشرف بن شرقي، جراديشار ومحمود تريزيجيه
وشهد تشكيل المارد الأحمر عودة أشرف بن شرقي، للمشاركة بشكل أساسي مع الأهلي، بعد مشاركته بديلا في مباراة الفريق الماضية أمام المصري البورسعيدي.
أقرأ أيضًا:"
لا أراك مراكز شباب القرى تدفع الرياضيين من ذوي الإعاقة للاعتزال تحقيق,https://www.masrawy.com/news/news_various/details/2025/10/21/2876638/-%D9%84%D8%A7-%D8%A3%D8%B1%D8%A7%D9%83-%D9%85%D8%B1%D8%A7%D9%83%D8%B2-%D8%B4%D8%A8%D8%A7%D8%A8-%D8%A7%D9%84%D9%82%D8%B1%D9%89-%D8%AA%D8%AF%D9%81%D8%B9-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6%D9%8A%D9%8A%D9%86-%D9%85%D9%86-%D8%B0%D9%88%D9%8A-%D8%A7%D9%84%D8%A5%D8%B9%D8%A7%D9%82%D8%A9-%D9%84%D9%84%D8%A7%D8%B9%D8%AA%D8%B2%D8%A7%D9%84-%D8%AA%D8%AD%D9%82%D9%8A%D9%82-#HP-CrossMedia,masrawy,"تحقيق- أحمد عصر:
يكشف هذا التحقيق عن واقع مراكز الشباب في القرى ومدى أهليتها لاستقبال الرياضيين من ذوي الإعاقة، في ظل وعود حكومية سابقة بتحقيق الدمج والمساواة في الفرص. فرغم وجود قوانين تكفل حق ذوي الإعاقة في ممارسة الرياضة والمشاركة المجتمعية، فإن التطبيق على الأرض يكشف فجوة واسعة بين النصوص والواقع، حيث يواجه هؤلاء الشباب تحديات يومية تبدأ من صعوبة الوصول إلى المراكز وتنتهي بانعدام التجهيزات الأساسية، الأمر الذي يؤدي إلى عزوفهم عن ممارسة الرياضة.
من خلال شهادات ميدانية ورصد مباشر، يتتبع التحقيق معاناة الشباب من ذوي الإعاقة في الريف، مسلطًا الضوء على غياب الدعم الفني والمادي، وضعف البنية التحتية داخل مراكز الشباب، وتجاهل احتياجات فئة تسعى لأن تكون جزءًا فاعلًا من المجتمع الرياضي، في الوقت الذي فقدت فيه مراكز شباب القرى في المحافظات خلال العقد الأخير ثلثي الرياضيين من ذوي الإعاقة، حيث تراجعت أعدادهم بنسبة بلغت 67 بالمئة.
لاستكمال قراءة التحقيق.."
لغز الأبواب اختفاء باب المقبرة وسر الأحرف الثلاثة,https://www.masrawy.com/news/news_various/details/2025/8/28/2844324/%D9%84%D8%BA%D8%B2-%D8%A7%D9%84%D8%A3%D8%A8%D9%88%D8%A7%D8%A8-%D8%A7%D8%AE%D8%AA%D9%81%D8%A7%D8%A1-%D8%A8%D8%A7%D8%A8-%D8%A7%D9%84%D9%85%D9%82%D8%A8%D8%B1%D8%A9-%D9%88%D8%B3%D8%B1-%D8%A7%D9%84%D8%A3%D8%AD%D8%B1%D9%81-%D8%A7%D9%84%D8%AB%D9%84%D8%A7%D8%AB%D8%A9#HP-CrossMedia,masrawy,"قصة - صور: مارينا ميلاد
مئات الأبواب المصرية القديمة ظهرت في متاجر وبيوت خارج مصر. لكن كيف غادرت الأبواب مكانها وتركت أصحابها ووصلت إلى أمريكا وأوروبا؟ وهل رحل باب مقبرة باسيلي باشا مثلها أم مازال في مدينته؟، فقد اختفى على نحو غامض قبل عام ونصف تقريبًا.. استناداً إلى عدة شهادات، والكثير من البحث والبيانات، نتتبع رحلة أبواب مصرية قديمة سلكت مسارًا غريبًا وغير متوقع."
,https://www.masrawy.com/#,masrawy,Not found
تواجد السولية ونيدفيد تشكيل سيراميكا كليوباترا الرسمي لمواجهة الأهلي,https://www.masrawy.com/sports/sports_news/details/2025/11/6/2885972/-%D8%AA%D9%88%D8%A7%D8%AC%D8%AF-%D8%A7%D9%84%D8%B3%D9%88%D9%84%D9%8A%D8%A9-%D9%88%D9%86%D9%8A%D8%AF%D9%81%D9%8A%D8%AF-%D8%AA%D8%B4%D9%83%D9%8A%D9%84-%D8%B3%D9%8A%D8%B1%D8%A7%D9%85%D9%8A%D9%83%D8%A7-%D9%83%D9%84%D9%8A%D9%88%D8%A8%D8%A7%D8%AA%D8%B1%D8%A7-%D8%A7%D9%84%D8%B1%D8%B3%D9%85%D9%8A-%D9%84%D9%85%D9%88%D8%A7%D8%AC%D9%87%D8%A9-%D8%A7%D9%84%D8%A3%D9%87%D9%84%D9%8A#hpLatest,masrawy,"استقر الجهاز الفني للفريق الأول لكرة القدم بنادي سيراميكا كليوباترا، على تشكيل فريقه الرسمي لمواجهة الأهلي في نصف نهائي كأس السوبر المصري.
ومن المقرر انطلاق صافرة بداية المباراة، في تمام الساعة الخامسة مساءً بتوقيت القاهرة، على ملعب ""هزاع بن زايد"" بالإمارات.
حراسة المرمى: محمد بسام
خط الدفاع: محمد صادق، رجب نبيل، جاستيس آرثر ومحمد عادل
خط الوسط: عمرو السولية، أحمد بلحاج وكريم نيدفيد 
خط الهجوم: إسلام عيسى، فخري لاكاي ومروان عثمان
ويتواجد على مقاعد بدلاء سيراميكا كلا من: ""محمد كوكو، سعد سمير، إبراهيم محمد، محمد رضا، أحمد هاني، حسين السيد، عمرو قلاوة، أيمن موكا وأحمد سمير"".
ويطمح فريق سيراميكا كليوباترا لتحقيق الفوز اليوم على حساب المارد الأحمر، ليتمكن من الصعود إلى نهائي كأس السوبر المصري للمرة الأولى في تاريخه.
أقرأ أيضًا:"
